종목명,종목코드,초기 자본,2025년 10월 15일 수요일 9:00,,,,,,,2025년 10월 16일 목요일 9:00,,,,,,,,2025년 10월 17일 금요일 9:00,,,,,,,,2025년 10월 20일 월요일 9:00,,,,,,,,2025년 10월 21일 화요일 9:00,,,,,,,,2025년 10월 22일 수요일 9:00,,,,,,,,2025년 10월 23일 목요일 9:00,,,,,,,,2025년 10월 24일 금요일 9:00,,,,,,,,2025년 10월 27일 월요일 9:00,,,,,,,,2025년 10월 28일 화요일 9:00,,,,,,,,2025년 10월 29일 수요일 9:00,,,,,,,,2025년 10월 30일 목요일 9:00,,,,,,,,2025년 10월 31일 금요일 9:00,,,,,,,,2025년 11월 1일 토요일 9:00,,,,,,,
,,"₩2,000,000",사유,거래,종가,보유 주식수,잔고,자산현황,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률
샘표,007540,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	51,400",38,"₩	46,800","₩	2,000,000",₩0,0.00%,손절,SELL,"₩	49,700",38,"₩	46,800","₩	1,935,400","₩64,600",3.23%,-,-,"₩	52,200",0,"₩	1,935,400","₩	1,935,400","₩64,600",3.23%,-,-,"₩	52,400",0,"₩	1,935,400","₩	1,935,400","₩64,600",3.23%,-,-,"₩	50,800",0,"₩	1,935,400","₩	1,935,400","₩64,600",3.23%,-,-,"₩	51,400",0,"₩	1,935,400","₩	1,935,400","₩64,600",3.23%,-,-,"₩	51,200",0,"₩	1,935,400","₩	1,935,400","₩64,600",3.23%,-,-,"₩	51,300",0,"₩	1,935,400","₩	1,935,400","₩64,600",3.23%,-,-,"₩	50,300",0,"₩	1,935,400","₩	1,935,400","₩64,600",3.23%,-,-,"₩	50,700",0,"₩	1,935,400","₩	1,935,400","₩64,600",3.23%,-,-,"₩	50,000",0,"₩	1,935,400","₩	1,935,400","₩64,600",3.23%,-,-,"₩	49,750",0,"₩	1,935,400","₩	1,935,400","₩64,600",3.23%,-,-,"₩	49,100",0,"₩	1,935,400","₩	1,935,400","₩64,600",3.23%
세우글로벌,013000,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	1,130","1,769","₩	1,030","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	1,144","1,769","₩	1,030","₩	2,024,766","₩24,766",1.24%,보유,HOLD,"₩	1,155","1,769","₩	1,030","₩	2,044,225","₩44,225",2.21%,보유,HOLD,"₩	1,181","1,769","₩	1,030","₩	2,090,219","₩90,219",4.51%,보유,HOLD,"₩	1,184","1,769","₩	1,030","₩	2,095,526","₩95,526",4.78%,보유,HOLD,"₩	1,188","1,769","₩	1,030","₩	2,102,602","₩102,602",5.13%,보유,HOLD,"₩	1,180","1,769","₩	1,030","₩	2,088,450","₩88,450",4.42%,손절,SELL,"₩	1,153","1,769","₩	1,030","₩	2,040,687","₩40,687",2.03%,-,-,"₩	1,157",0,"₩	2,040,687","₩	2,040,687","₩40,687",2.03%,-,-,"₩	1,206",0,"₩	2,040,687","₩	2,040,687","₩40,687",2.03%,-,-,"₩	1,217",0,"₩	2,040,687","₩	2,040,687","₩40,687",2.03%,-,-,"₩	1,220",0,"₩	2,040,687","₩	2,040,687","₩40,687",2.03%,-,-,"₩	1,227",0,"₩	2,040,687","₩	2,040,687","₩40,687",2.03%
에스제이엠홀딩스,025530,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	3,625",551,"₩	2,625","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,645",551,"₩	2,625","₩	2,011,020","₩11,020",0.55%,보유,HOLD,"₩	3,625",551,"₩	2,625","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,590",551,"₩	2,625","₩	1,980,715","₩19,285",0.96%,보유,HOLD,"₩	3,650",551,"₩	2,625","₩	2,013,775","₩13,775",0.69%,보유,HOLD,"₩	3,680",551,"₩	2,625","₩	2,030,305","₩30,305",1.52%,보유,HOLD,"₩	3,675",551,"₩	2,625","₩	2,027,550","₩27,550",1.38%,보유,HOLD,"₩	3,655",551,"₩	2,625","₩	2,016,530","₩16,530",0.83%,보유,HOLD,"₩	3,655",551,"₩	2,625","₩	2,016,530","₩16,530",0.83%,보유,HOLD,"₩	3,665",551,"₩	2,625","₩	2,022,040","₩22,040",1.10%,보유,HOLD,"₩	3,660",551,"₩	2,625","₩	2,019,285","₩19,285",0.96%,보유,HOLD,"₩	3,640",551,"₩	2,625","₩	2,008,265","₩8,265",0.41%,보유,HOLD,"₩	3,660",551,"₩	2,625","₩	2,019,285","₩19,285",0.96%
영흥,012160,"₩2,000,000",,,,,,,,골드크로스,BUY,₩	609,"3,284",₩	44,"₩	2,000,000",₩0,0.00%,손절,SELL,₩	584,"3,284",₩	44,"₩	1,917,900","₩82,100",4.11%,-,-,₩	581,0,"₩	1,917,900","₩	1,917,900","₩82,100",4.11%,-,-,₩	580,0,"₩	1,917,900","₩	1,917,900","₩82,100",4.11%,-,-,₩	562,0,"₩	1,917,900","₩	1,917,900","₩82,100",4.11%,-,-,₩	569,0,"₩	1,917,900","₩	1,917,900","₩82,100",4.11%,-,-,₩	573,0,"₩	1,917,900","₩	1,917,900","₩82,100",4.11%,-,-,₩	574,0,"₩	1,917,900","₩	1,917,900","₩82,100",4.11%,-,-,₩	582,0,"₩	1,917,900","₩	1,917,900","₩82,100",4.11%,-,-,₩	571,0,"₩	1,917,900","₩	1,917,900","₩82,100",4.11%,-,-,₩	564,0,"₩	1,917,900","₩	1,917,900","₩82,100",4.11%,-,-,₩	572,0,"₩	1,917,900","₩	1,917,900","₩82,100",4.11%,-,-,₩	566,0,"₩	1,917,900","₩	1,917,900","₩82,100",4.11%
일신방직,003200,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	11,600",172,"₩	4,800","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	11,630",172,"₩	4,800","₩	2,005,160","₩5,160",0.26%,손절,SELL,"₩	11,200",172,"₩	4,800","₩	1,931,200","₩68,800",3.44%,-,-,"₩	11,020",0,"₩	1,931,200","₩	1,931,200","₩68,800",3.44%,-,-,"₩	11,180",0,"₩	1,931,200","₩	1,931,200","₩68,800",3.44%,-,-,"₩	11,800",0,"₩	1,931,200","₩	1,931,200","₩68,800",3.44%,-,-,"₩	11,800",0,"₩	1,931,200","₩	1,931,200","₩68,800",3.44%,-,-,"₩	11,660",0,"₩	1,931,200","₩	1,931,200","₩68,800",3.44%,-,-,"₩	11,890",0,"₩	1,931,200","₩	1,931,200","₩68,800",3.44%,-,-,"₩	11,800",0,"₩	1,931,200","₩	1,931,200","₩68,800",3.44%,-,-,"₩	11,680",0,"₩	1,931,200","₩	1,931,200","₩68,800",3.44%,-,-,"₩	11,780",0,"₩	1,931,200","₩	1,931,200","₩68,800",3.44%,-,-,"₩	12,030",0,"₩	1,931,200","₩	1,931,200","₩68,800",3.44%
포스코인터내셔널,047050,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	50,500",39,"₩	30,500","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	51,700",39,"₩	30,500","₩	2,046,800","₩46,800",2.34%,보유,HOLD,"₩	52,900",39,"₩	30,500","₩	2,093,600","₩93,600",4.68%,보유,HOLD,"₩	52,100",39,"₩	30,500","₩	2,062,400","₩62,400",3.12%,보유,HOLD,"₩	52,200",39,"₩	30,500","₩	2,066,300","₩66,300",3.32%,보유,HOLD,"₩	54,600",39,"₩	30,500","₩	2,159,900","₩159,900",7.99%,보유,HOLD,"₩	59,800",39,"₩	30,500","₩	2,362,700","₩362,700",18.14%,보유,HOLD,"₩	58,100",39,"₩	30,500","₩	2,296,400","₩296,400",14.82%,보유,HOLD,"₩	57,300",39,"₩	30,500","₩	2,265,200","₩265,200",13.26%,보유,HOLD,"₩	57,300",39,"₩	30,500","₩	2,265,200","₩265,200",13.26%,보유,HOLD,"₩	58,800",39,"₩	30,500","₩	2,323,700","₩323,700",16.19%,보유,HOLD,"₩	56,100",39,"₩	30,500","₩	2,218,400","₩218,400",10.92%,보유,HOLD,"₩	55,000",39,"₩	30,500","₩	2,175,500","₩175,500",8.77%
한신기계공업,011700,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	3,745",534,₩	170,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,765",534,₩	170,"₩	2,010,680","₩10,680",0.53%,손절,SELL,"₩	3,625",534,₩	170,"₩	1,935,920","₩64,080",3.20%,-,-,"₩	3,600",0,"₩	1,935,920","₩	1,935,920","₩64,080",3.20%,-,-,"₩	3,615",0,"₩	1,935,920","₩	1,935,920","₩64,080",3.20%,-,-,"₩	3,585",0,"₩	1,935,920","₩	1,935,920","₩64,080",3.20%,-,-,"₩	3,515",0,"₩	1,935,920","₩	1,935,920","₩64,080",3.20%,-,-,"₩	3,670",0,"₩	1,935,920","₩	1,935,920","₩64,080",3.20%,-,-,"₩	3,680",0,"₩	1,935,920","₩	1,935,920","₩64,080",3.20%,-,-,"₩	3,650",0,"₩	1,935,920","₩	1,935,920","₩64,080",3.20%,-,-,"₩	3,695",0,"₩	1,935,920","₩	1,935,920","₩64,080",3.20%,-,-,"₩	3,540",0,"₩	1,935,920","₩	1,935,920","₩64,080",3.20%,-,-,"₩	3,440",0,"₩	1,935,920","₩	1,935,920","₩64,080",3.20%
한전기술,052690,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	96,700",20,"₩	66,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	96,900",20,"₩	66,000","₩	2,004,000","₩4,000",0.20%,보유,HOLD,"₩	97,700",20,"₩	66,000","₩	2,020,000","₩20,000",1.00%,보유,HOLD,"₩	96,200",20,"₩	66,000","₩	1,990,000","₩10,000",0.50%,보유,HOLD,"₩	106,000",20,"₩	66,000","₩	2,186,000","₩186,000",9.30%,보유,HOLD,"₩	105,900",20,"₩	66,000","₩	2,184,000","₩184,000",9.20%,보유,HOLD,"₩	104,300",20,"₩	66,000","₩	2,152,000","₩152,000",7.60%,보유,HOLD,"₩	109,400",20,"₩	66,000","₩	2,254,000","₩254,000",12.70%,보유,HOLD,"₩	109,200",20,"₩	66,000","₩	2,250,000","₩250,000",12.50%,보유,HOLD,"₩	108,900",20,"₩	66,000","₩	2,244,000","₩244,000",12.20%,보유,HOLD,"₩	112,900",20,"₩	66,000","₩	2,324,000","₩324,000",16.20%,손절,SELL,"₩	104,100",20,"₩	66,000","₩	2,148,000","₩148,000",7.40%,-,-,"₩	102,200",0,"₩	2,148,000","₩	2,148,000","₩148,000",7.40%
한전산업,130660,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	12,790",156,"₩	4,760","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	12,650",156,"₩	4,760","₩	1,978,160","₩21,840",1.09%,손절,SELL,"₩	12,280",156,"₩	4,760","₩	1,920,440","₩79,560",3.98%,-,-,"₩	12,220",0,"₩	1,920,440","₩	1,920,440","₩79,560",3.98%,-,-,"₩	12,710",0,"₩	1,920,440","₩	1,920,440","₩79,560",3.98%,-,-,"₩	12,620",0,"₩	1,920,440","₩	1,920,440","₩79,560",3.98%,-,-,"₩	12,330",0,"₩	1,920,440","₩	1,920,440","₩79,560",3.98%,-,-,"₩	12,830",0,"₩	1,920,440","₩	1,920,440","₩79,560",3.98%,-,-,"₩	12,760",0,"₩	1,920,440","₩	1,920,440","₩79,560",3.98%,-,-,"₩	12,840",0,"₩	1,920,440","₩	1,920,440","₩79,560",3.98%,-,-,"₩	13,060",0,"₩	1,920,440","₩	1,920,440","₩79,560",3.98%,-,-,"₩	12,450",0,"₩	1,920,440","₩	1,920,440","₩79,560",3.98%,-,-,"₩	12,350",0,"₩	1,920,440","₩	1,920,440","₩79,560",3.98%
한화리츠,451800,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	4,035",495,"₩	2,675","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	4,035",495,"₩	2,675","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	4,045",495,"₩	2,675","₩	2,004,950","₩4,950",0.25%,보유,HOLD,"₩	4,020",495,"₩	2,675","₩	1,992,575","₩7,425",0.37%,보유,HOLD,"₩	4,020",495,"₩	2,675","₩	1,992,575","₩7,425",0.37%,보유,HOLD,"₩	4,030",495,"₩	2,675","₩	1,997,525","₩2,475",0.12%,보유,HOLD,"₩	4,015",495,"₩	2,675","₩	1,990,100","₩9,900",0.50%,보유,HOLD,"₩	4,015",495,"₩	2,675","₩	1,990,100","₩9,900",0.50%,보유,HOLD,"₩	4,015",495,"₩	2,675","₩	1,990,100","₩9,900",0.50%,보유,HOLD,"₩	4,025",495,"₩	2,675","₩	1,995,050","₩4,950",0.25%,보유,HOLD,"₩	4,015",495,"₩	2,675","₩	1,990,100","₩9,900",0.50%,데드크로스,SELL,"₩	3,950",495,"₩	2,675","₩	1,957,925","₩42,075",2.10%,-,-,"₩	3,975",0,"₩	1,957,925","₩	1,957,925","₩42,075",2.10%
현대비앤지스틸,004560,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	12,130",164,"₩	10,680","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	11,890",164,"₩	10,680","₩	1,960,640","₩39,360",1.97%,손절,SELL,"₩	11,600",164,"₩	10,680","₩	1,913,080","₩86,920",4.35%,-,-,"₩	11,600",0,"₩	1,913,080","₩	1,913,080","₩86,920",4.35%,-,-,"₩	11,730",0,"₩	1,913,080","₩	1,913,080","₩86,920",4.35%,-,-,"₩	11,850",0,"₩	1,913,080","₩	1,913,080","₩86,920",4.35%,-,-,"₩	11,760",0,"₩	1,913,080","₩	1,913,080","₩86,920",4.35%,-,-,"₩	11,850",0,"₩	1,913,080","₩	1,913,080","₩86,920",4.35%,-,-,"₩	11,700",0,"₩	1,913,080","₩	1,913,080","₩86,920",4.35%,-,-,"₩	11,630",0,"₩	1,913,080","₩	1,913,080","₩86,920",4.35%,-,-,"₩	11,600",0,"₩	1,913,080","₩	1,913,080","₩86,920",4.35%,-,-,"₩	11,420",0,"₩	1,913,080","₩	1,913,080","₩86,920",4.35%,-,-,"₩	11,220",0,"₩	1,913,080","₩	1,913,080","₩86,920",4.35%
DB증권,016610,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	9,560",209,"₩	1,960","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	9,700",209,"₩	1,960","₩	2,029,260","₩29,260",1.46%,보유,HOLD,"₩	9,390",209,"₩	1,960","₩	1,964,470","₩35,530",1.78%,보유,HOLD,"₩	10,030",209,"₩	1,960","₩	2,098,230","₩98,230",4.91%,보유,HOLD,"₩	9,940",209,"₩	1,960","₩	2,079,420","₩79,420",3.97%,보유,HOLD,"₩	10,000",209,"₩	1,960","₩	2,091,960","₩91,960",4.60%,보유,HOLD,"₩	9,870",209,"₩	1,960","₩	2,064,790","₩64,790",3.24%,보유,HOLD,"₩	9,960",209,"₩	1,960","₩	2,083,600","₩83,600",4.18%,보유,HOLD,"₩	10,040",209,"₩	1,960","₩	2,100,320","₩100,320",5.02%,보유,HOLD,"₩	9,990",209,"₩	1,960","₩	2,089,870","₩89,870",4.49%,보유,HOLD,"₩	10,050",209,"₩	1,960","₩	2,102,410","₩102,410",5.12%,보유,HOLD,"₩	10,150",209,"₩	1,960","₩	2,123,310","₩123,310",6.17%,보유,HOLD,"₩	10,110",209,"₩	1,960","₩	2,114,950","₩114,950",5.75%
HD현대건설기계,267270,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	95,300",20,"₩	94,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	94,200",20,"₩	94,000","₩	1,978,000","₩22,000",1.10%,보유,HOLD,"₩	94,400",20,"₩	94,000","₩	1,982,000","₩18,000",0.90%,보유,HOLD,"₩	95,800",20,"₩	94,000","₩	2,010,000","₩10,000",0.50%,보유,HOLD,"₩	99,700",20,"₩	94,000","₩	2,088,000","₩88,000",4.40%,보유,HOLD,"₩	104,000",20,"₩	94,000","₩	2,174,000","₩174,000",8.70%,보유,HOLD,"₩	114,900",20,"₩	94,000","₩	2,392,000","₩392,000",19.60%,보유,HOLD,"₩	109,800",20,"₩	94,000","₩	2,290,000","₩290,000",14.50%,보유,HOLD,"₩	111,200",20,"₩	94,000","₩	2,318,000","₩318,000",15.90%,보유,HOLD,"₩	107,900",20,"₩	94,000","₩	2,252,000","₩252,000",12.60%,보유,HOLD,"₩	111,400",20,"₩	94,000","₩	2,322,000","₩322,000",16.10%,보유,HOLD,"₩	103,300",20,"₩	94,000","₩	2,160,000","₩160,000",8.00%,보유,HOLD,"₩	100,000",20,"₩	94,000","₩	2,094,000","₩94,000",4.70%
LS,006260,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	184,900",10,"₩	151,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	183,800",10,"₩	151,000","₩	1,989,000","₩11,000",0.55%,보유,HOLD,"₩	187,800",10,"₩	151,000","₩	2,029,000","₩29,000",1.45%,보유,HOLD,"₩	197,200",10,"₩	151,000","₩	2,123,000","₩123,000",6.15%,보유,HOLD,"₩	198,900",10,"₩	151,000","₩	2,140,000","₩140,000",7.00%,보유,HOLD,"₩	201,000",10,"₩	151,000","₩	2,161,000","₩161,000",8.05%,보유,HOLD,"₩	206,000",10,"₩	151,000","₩	2,211,000","₩211,000",10.55%,보유,HOLD,"₩	211,500",10,"₩	151,000","₩	2,266,000","₩266,000",13.30%,보유,HOLD,"₩	215,000",10,"₩	151,000","₩	2,301,000","₩301,000",15.05%,보유,HOLD,"₩	217,500",10,"₩	151,000","₩	2,326,000","₩326,000",16.30%,보유,HOLD,"₩	215,500",10,"₩	151,000","₩	2,306,000","₩306,000",15.30%,보유,HOLD,"₩	217,500",10,"₩	151,000","₩	2,326,000","₩326,000",16.30%,보유,HOLD,"₩	209,000",10,"₩	151,000","₩	2,241,000","₩241,000",12.05%
PI첨단소재,178920,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	18,370",108,"₩	16,040","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	18,400",108,"₩	16,040","₩	2,003,240","₩3,240",0.16%,보유,HOLD,"₩	18,170",108,"₩	16,040","₩	1,978,400","₩21,600",1.08%,보유,HOLD,"₩	18,060",108,"₩	16,040","₩	1,966,520","₩33,480",1.67%,보유,HOLD,"₩	18,060",108,"₩	16,040","₩	1,966,520","₩33,480",1.67%,보유,HOLD,"₩	18,840",108,"₩	16,040","₩	2,050,760","₩50,760",2.54%,보유,HOLD,"₩	18,850",108,"₩	16,040","₩	2,051,840","₩51,840",2.59%,보유,HOLD,"₩	19,180",108,"₩	16,040","₩	2,087,480","₩87,480",4.37%,보유,HOLD,"₩	18,820",108,"₩	16,040","₩	2,048,600","₩48,600",2.43%,보유,HOLD,"₩	18,620",108,"₩	16,040","₩	2,027,000","₩27,000",1.35%,손절,SELL,"₩	18,430",108,"₩	16,040","₩	2,006,480","₩6,480",0.32%,-,-,"₩	17,800",0,"₩	2,006,480","₩	2,006,480","₩6,480",0.32%,-,-,"₩	18,140",0,"₩	2,006,480","₩	2,006,480","₩6,480",0.32%
에코프로머티,450080,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	63,400",31,"₩	34,600","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	65,800",31,"₩	34,600","₩	2,074,400","₩74,400",3.72%,보유,HOLD,"₩	66,000",31,"₩	34,600","₩	2,080,600","₩80,600",4.03%,보유,HOLD,"₩	64,700",31,"₩	34,600","₩	2,040,300","₩40,300",2.02%,보유,HOLD,"₩	69,500",31,"₩	34,600","₩	2,189,100","₩189,100",9.46%,손절,SELL,"₩	65,400",31,"₩	34,600","₩	2,062,000","₩62,000",3.10%,-,-,"₩	67,800",0,"₩	2,062,000","₩	2,062,000","₩62,000",3.10%,-,-,"₩	66,200",0,"₩	2,062,000","₩	2,062,000","₩62,000",3.10%,-,-,"₩	67,400",0,"₩	2,062,000","₩	2,062,000","₩62,000",3.10%,-,-,"₩	66,500",0,"₩	2,062,000","₩	2,062,000","₩62,000",3.10%,-,-,"₩	64,300",0,"₩	2,062,000","₩	2,062,000","₩62,000",3.10%,-,-,"₩	63,000",0,"₩	2,062,000","₩	2,062,000","₩62,000",3.10%
두올,016740,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	3,510",569,"₩	2,810","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,500",569,"₩	2,810","₩	1,994,310","₩5,690",0.28%,보유,HOLD,"₩	3,470",569,"₩	2,810","₩	1,977,240","₩22,760",1.14%,보유,HOLD,"₩	3,535",569,"₩	2,810","₩	2,014,225","₩14,225",0.71%,보유,HOLD,"₩	3,530",569,"₩	2,810","₩	2,011,380","₩11,380",0.57%,보유,HOLD,"₩	3,460",569,"₩	2,810","₩	1,971,550","₩28,450",1.42%,보유,HOLD,"₩	3,465",569,"₩	2,810","₩	1,974,395","₩25,605",1.28%,보유,HOLD,"₩	3,520",569,"₩	2,810","₩	2,005,690","₩5,690",0.28%,보유,HOLD,"₩	3,485",569,"₩	2,810","₩	1,985,775","₩14,225",0.71%,보유,HOLD,"₩	3,505",569,"₩	2,810","₩	1,997,155","₩2,845",0.14%,보유,HOLD,"₩	3,555",569,"₩	2,810","₩	2,025,605","₩25,605",1.28%,보유,HOLD,"₩	3,560",569,"₩	2,810","₩	2,028,450","₩28,450",1.42%
한국타이어앤테크놀로지,161390,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	41,450",48,"₩	10,400","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	42,350",48,"₩	10,400","₩	2,043,200","₩43,200",2.16%,보유,HOLD,"₩	42,850",48,"₩	10,400","₩	2,067,200","₩67,200",3.36%,보유,HOLD,"₩	43,950",48,"₩	10,400","₩	2,120,000","₩120,000",6.00%,보유,HOLD,"₩	45,350",48,"₩	10,400","₩	2,187,200","₩187,200",9.36%,보유,HOLD,"₩	44,650",48,"₩	10,400","₩	2,153,600","₩153,600",7.68%,보유,HOLD,"₩	44,200",48,"₩	10,400","₩	2,132,000","₩132,000",6.60%,보유,HOLD,"₩	44,550",48,"₩	10,400","₩	2,148,800","₩148,800",7.44%,보유,HOLD,"₩	44,700",48,"₩	10,400","₩	2,156,000","₩156,000",7.80%,보유,HOLD,"₩	45,300",48,"₩	10,400","₩	2,184,800","₩184,800",9.24%,보유,HOLD,"₩	46,100",48,"₩	10,400","₩	2,223,200","₩223,200",11.16%,보유,HOLD,"₩	46,350",48,"₩	10,400","₩	2,235,200","₩235,200",11.76%
한농화성,011500,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	15,010",133,"₩	3,670","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	15,790",133,"₩	3,670","₩	2,103,740","₩103,740",5.19%,보유,HOLD,"₩	15,220",133,"₩	3,670","₩	2,027,930","₩27,930",1.40%,보유,HOLD,"₩	15,160",133,"₩	3,670","₩	2,019,950","₩19,950",1.00%,보유,HOLD,"₩	15,540",133,"₩	3,670","₩	2,070,490","₩70,490",3.52%,보유,HOLD,"₩	15,270",133,"₩	3,670","₩	2,034,580","₩34,580",1.73%,보유,HOLD,"₩	17,260",133,"₩	3,670","₩	2,299,250","₩299,250",14.96%,보유,HOLD,"₩	17,150",133,"₩	3,670","₩	2,284,620","₩284,620",14.23%,보유,HOLD,"₩	17,080",133,"₩	3,670","₩	2,275,310","₩275,310",13.77%,보유,HOLD,"₩	16,850",133,"₩	3,670","₩	2,244,720","₩244,720",12.24%,보유,HOLD,"₩	16,030",133,"₩	3,670","₩	2,135,660","₩135,660",6.78%,보유,HOLD,"₩	15,770",133,"₩	3,670","₩	2,101,080","₩101,080",5.05%
교보증권,030610,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	9,370",213,"₩	4,190","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	9,100",213,"₩	4,190","₩	1,942,490","₩57,510",2.88%,보유,HOLD,"₩	9,580",213,"₩	4,190","₩	2,044,730","₩44,730",2.24%,보유,HOLD,"₩	9,390",213,"₩	4,190","₩	2,004,260","₩4,260",0.21%,보유,HOLD,"₩	9,400",213,"₩	4,190","₩	2,006,390","₩6,390",0.32%,보유,HOLD,"₩	9,280",213,"₩	4,190","₩	1,980,830","₩19,170",0.96%,보유,HOLD,"₩	9,370",213,"₩	4,190","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	9,560",213,"₩	4,190","₩	2,040,470","₩40,470",2.02%,보유,HOLD,"₩	9,500",213,"₩	4,190","₩	2,027,690","₩27,690",1.38%,보유,HOLD,"₩	9,480",213,"₩	4,190","₩	2,023,430","₩23,430",1.17%,보유,HOLD,"₩	9,460",213,"₩	4,190","₩	2,019,170","₩19,170",0.96%,보유,HOLD,"₩	9,430",213,"₩	4,190","₩	2,012,780","₩12,780",0.64%
삼성E&A,028050,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	28,300",70,"₩	19,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	27,850",70,"₩	19,000","₩	1,968,500","₩31,500",1.58%,데드크로스,SELL,"₩	27,500",70,"₩	19,000","₩	1,944,000","₩56,000",2.80%,골드크로스,BUY,"₩	27,950",69,"₩	15,450","₩	1,944,000","₩56,000",2.80%,보유,HOLD,"₩	28,400",69,"₩	15,450","₩	1,975,050","₩24,950",1.25%,보유,HOLD,"₩	30,300",69,"₩	15,450","₩	2,106,150","₩106,150",5.31%,보유,HOLD,"₩	29,300",69,"₩	15,450","₩	2,037,150","₩37,150",1.86%,보유,HOLD,"₩	28,400",69,"₩	15,450","₩	1,975,050","₩24,950",1.25%,손절,SELL,"₩	27,300",69,"₩	15,450","₩	1,899,150","₩100,850",5.04%,-,-,"₩	27,500",0,"₩	1,899,150","₩	1,899,150","₩100,850",5.04%,-,-,"₩	27,400",0,"₩	1,899,150","₩	1,899,150","₩100,850",5.04%,-,-,"₩	25,950",0,"₩	1,899,150","₩	1,899,150","₩100,850",5.04%
